"propertyid","quickrefid_x","propertynumber","legaldesc","legallocationcode","legallocationdesc","subblock","sublot","taxingunitlist","mapnumber","currmarketvalue","currassessedvalue","currlandvalue","currimprovmentvalue","curragvalue","marketvalue","assessedvalue","landvalue","improvmentvalue","agvalue","squarefootage","nbhdcode","nbhddesc","situs","situsstreetnumber","situsstreetname","situsstreetsuffix","situscity","situsstate","situszip","schooltaxingunits","segclass","actyrbuilt","deeddate","fplumbing","fnumhalfbath","feffyear","fsptb","defaultmarketareadesc","ma","maarea","ma2","maarea2","matotalarea","garage","garagearea","openporch","oparea","datadate","transfervaliditycode","pool","poolarea","patio","patioarea","dg","deck","deckarea","fbedrooms","dgarea"
"311234","R506258","R-16-4913-000A-0017","S9965 - PEARSON PLACE SEC 1, BLOCK A, Lot 17","S9965","S9965 - PEARSON PLACE SEC 1","A","17","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","832101.0","643785.0","152000.0","680101.0","0.0","595737.0","585259.0","117000.0","478737.0","0.0","2686.0","R256613C","R256613C PEARSON PLACE","9913 IVALENES HOPE DR, AUSTIN, TX  78717","9913","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2013.0","2013-12-23 00:00:00.000","2.0","1.0","2013.0","A1","WEST ROUND ROCK MRA","1.0","2686.0","","0.0","2686.0","1.0","693.0","2.0","257.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311242","R506266","R-16-4913-000E-0005","S9965 - PEARSON PLACE SEC 1, BLOCK E, Lot 5","S9965","S9965 - PEARSON PLACE SEC 1","E","5","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","794806.0","613471.0","152000.0","642806.0","0.0","570902.0","557701.0","117000.0","453902.0","0.0","2591.0","R256613C","R256613C PEARSON PLACE","15816 DINK PEARSON LN, AUSTIN, TX  78717","15816","DINK PEARSON","LN","AUSTIN","TX","78717","SRR","R6","2015.0","2015-09-23 00:00:00.000","3.0","","2015.0","A1","WEST ROUND ROCK MRA","1.0","2591.0","","0.0","2591.0","1.0","484.0","2.0","246.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311243","R506267","R-16-4913-000E-0006","S9965 - PEARSON PLACE SEC 1, BLOCK E, Lot 6","S9965","S9965 - PEARSON PLACE SEC 1","E","6","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","933785.0","669325.0","152000.0","781785.0","0.0","659348.0","608477.0","117000.0","542348.0","0.0","3168.0","R256613C","R256613C PEARSON PLACE","15812 DINK PEARSON LN, AUSTIN, TX  78717","15812","DINK PEARSON","LN","AUSTIN","TX","78717","SRR","R6","2013.0","2014-03-26 00:00:00.000","3.0","1.0","2013.0","A1","WEST ROUND ROCK MRA","1.0","3168.0","","0.0","3168.0","1.0","418.0","2.0","234.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311259","R506283","R-16-4913-000E-0022","S9965 - PEARSON PLACE SEC 1, BLOCK E, Lot 22","S9965","S9965 - PEARSON PLACE SEC 1","E","22","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","1016345.0","804762.0","152000.0","864345.0","0.0","799694.0","731602.0","117000.0","682694.0","0.0","4161.0","R256613C","R256613C PEARSON PLACE","10213 IVALENES HOPE DR, AUSTIN, TX  78717","10213","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2012.0","2013-01-28 00:00:00.000","2.0","1.0","2012.0","A1","WEST ROUND ROCK MRA","1.0","2224.0","1.0","1937.0","4161.0","1.0","441.0","2.0","223.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","1","209","nan","nan"
"311270","R506294","R-16-4913-000F-0005","S9965 - PEARSON PLACE SEC 1, BLOCK F, Lot 5","S9965","S9965 - PEARSON PLACE SEC 1","F","5","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","893928.0","661712.0","152000.0","741928.0","0.0","634926.0","601556.0","117000.0","517926.0","0.0","3026.0","R256613C","R256613C PEARSON PLACE","15817 DINK PEARSON LN, AUSTIN, TX  78717","15817","DINK PEARSON","LN","AUSTIN","TX","78717","SRR","R6","2013.0","2013-08-30 00:00:00.000","2.0","1.0","2013.0","A1","WEST ROUND ROCK MRA","1.0","3026.0","","0.0","3026.0","1.0","462.0","2.0","98.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311300","R506324","R-16-4913-000G-0014","S9965 - PEARSON PLACE SEC 1, BLOCK G, Lot 14","S9965","S9965 - PEARSON PLACE SEC 1","G","14","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","799381.0","601721.0","152000.0","647381.0","0.0","571410.0","547019.0","117000.0","454410.0","0.0","2566.0","R256613C","R256613C PEARSON PLACE","15801 PEARSON BROTHERS DR, AUSTIN, TX  78717","15801","PEARSON BROTHERS","DR","AUSTIN","TX","78717","SRR","R6","2013.0","2013-09-24 00:00:00.000","2.0","1.0","2013.0","A1","WEST ROUND ROCK MRA","1.0","1595.0","1.0","971.0","2566.0","1.0","480.0","2.0","186.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311301","R506325","R-16-4913-000G-0015","S9965 - PEARSON PLACE SEC 1, BLOCK G, Lot 15","S9965","S9965 - PEARSON PLACE SEC 1","G","15","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","836034.0","633600.0","152000.0","684034.0","0.0","576000.0","576000.0","117000.0","459000.0","0.0","2602.0","R256613C","R256613C PEARSON PLACE","10001 IVALENES HOPE DR, AUSTIN, TX  78717","10001","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2013.0","2015-05-28 00:00:00.000","3.0","1.0","2013.0","A1","WEST ROUND ROCK MRA","1.0","1316.0","1.0","1286.0","2602.0","1.0","920.0","2.0","352.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311306","R506330","R-16-4913-000G-0020","S9965 - PEARSON PLACE SEC 1, BLOCK G, Lot 20","S9965","S9965 - PEARSON PLACE SEC 1","G","20","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","782611.0","597784.0","152000.0","630611.0","0.0","561685.0","543440.0","117000.0","444685.0","0.0","2546.0","R256613C","R256613C PEARSON PLACE","10101 IVALENES HOPE DR, AUSTIN, TX  78717","10101","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2012.0","2012-12-05 00:00:00.000","2.0","","2012.0","A1","WEST ROUND ROCK MRA","1.0","2546.0","","0.0","2546.0","1.0","462.0","2.0","255.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311311","R506335","R-16-4913-000H-0001","S9965 - PEARSON PLACE SEC 1, BLOCK H, Lot 1","S9965","S9965 - PEARSON PLACE SEC 1","H","1","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","937474.0","715328.0","152000.0","785474.0","0.0","672296.0","650298.0","117000.0","555296.0","0.0","2887.0","R256613C","R256613C PEARSON PLACE","9816 FAITH AND TRUST CV, AUSTIN, TX  78717","9816","FAITH AND TRUST","CV","AUSTIN","TX","78717","SRR","R6","2012.0","2019-12-30 00:00:00.000","2.0","1.0","2012.0","A1","WEST ROUND ROCK MRA","1.0","2887.0","","0.0","2887.0","1.0","739.0","2.0","506.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","1","256","nan","nan"
"311318","R506342","R-16-4913-000H-0008","S9965 - PEARSON PLACE SEC 1, BLOCK H, Lot 8","S9965","S9965 - PEARSON PLACE SEC 1","H","8","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","1110684.0","829059.0","152000.0","958684.0","0.0","813942.0","753690.0","117000.0","696942.0","0.0","4176.0","R256613C","R256613C PEARSON PLACE","10208 IVALENES HOPE DR, AUSTIN, TX  78717","10208","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2012.0","2012-11-30 00:00:00.000","2.0","1.0","2012.0","A1","WEST ROUND ROCK MRA","1.0","2391.0","1.0","1785.0","4176.0","1.0","693.0","2.0","334.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"341517","R529570","R-16-4913-030M-0017","S10661 - PEARSON PLACE SEC 3, BLOCK M, Lot 17","S10661","S10661 - PEARSON PLACE SEC 3","M","17","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-6608","940695.0","687231.0","152000.0","788695.0","0.0","661343.0","624755.0","117000.0","544343.0","0.0","3138.0","R256613C","R256613C PEARSON PLACE","9501 BRIANS PATH, AUSTIN, TX  78717","9501","BRIANS","PATH","AUSTIN","TX","78717","SRR","R6","2015.0","2016-02-10 00:00:00.000","3.0","","2015.0","A1","WEST ROUND ROCK MRA","1.0","1986.0","1.0","1152.0","3138.0","1.0","420.0","2.0","315.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"341519","R529572","R-16-4913-030M-0019","S10661 - PEARSON PLACE SEC 3, BLOCK M, Lot 19","S10661","S10661 - PEARSON PLACE SEC 3","M","19","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-6608","1095093.0","815157.0","152000.0","943093.0","0.0","792453.0","741052.0","117000.0","675453.0","0.0","4003.0","R256613C","R256613C PEARSON PLACE","10624 IVALENES HOPE DR, AUSTIN, TX  78717","10624","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2015.0","2019-05-15 00:00:00.000","4.0","","2015.0","A1","WEST ROUND ROCK MRA","1.0","2448.0","1.0","1555.0","4003.0","1.0","673.0","2.0","319.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"341529","R529582","R-16-4913-030N-0002","S10661 - PEARSON PLACE SEC 3, BLOCK N, Lot 2","S10661","S10661 - PEARSON PLACE SEC 3","N","2","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-6608","915983.0","687881.0","152000.0","763983.0","0.0","649727.0","625346.0","117000.0","532727.0","0.0","3044.0","R256613C","R256613C PEARSON PLACE","9417 KYLES STAKE RD, AUSTIN, TX  78717","9417","KYLES STAKE","RD","AUSTIN","TX","78717","SRR","R6","2015.0","2016-03-30 00:00:00.000","3.0","","2015.0","A1","WEST ROUND ROCK MRA","1.0","1850.0","1.0","1194.0","3044.0","1.0","640.0","2.0","181.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"341563","R529616","R-16-4913-030P-0004","S10661 - PEARSON PLACE SEC 3, BLOCK P, Lot 4","S10661","S10661 - PEARSON PLACE SEC 3","P","4","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-6608","1082545.0","786911.0","152000.0","930545.0","0.0","772523.0","715374.0","117000.0","655523.0","0.0","3969.0","R256613C","R256613C PEARSON PLACE","10613 IVALENES HOPE DR, AUSTIN, TX  78717","10613","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2015.0","2016-06-27 00:00:00.000","4.0","","2015.0","A1","WEST ROUND ROCK MRA","1.0","2347.0","1.0","1622.0","3969.0","1.0","440.0","2.0","247.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"328969","R520736","R-16-4926-000H-0014","S10379 - PEARSON PLACE SEC 2, BLOCK H, Lot 14","S10379","S10379 - PEARSON PLACE SEC 2","H","14","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808,(4-6303)","814384.0","814384.0","152000.0","662384.0","0.0","569029.0","569029.0","117000.0","452029.0","0.0","2484.0","R256613C","R256613C PEARSON PLACE","15708 JEFFS LN, AUSTIN, TX  78717","15708","JEFFS","LN","AUSTIN","TX","78717","SRR","R6","2014.0","2015-01-21 00:00:00.000","2.0","1.0","2014.0","A1","WEST ROUND ROCK MRA","1.0","2484.0","","0.0","2484.0","1.0","566.0","2.0","345.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"328989","R520756","R-16-4926-000H-0034","S10379 - PEARSON PLACE SEC 2, BLOCK H, Lot 34","S10379","S10379 - PEARSON PLACE SEC 2","H","34","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808,(4-6303)","939469.0","687069.0","152000.0","787469.0","0.0","660447.0","624608.0","117000.0","543447.0","0.0","3125.0","R256613C","R256613C PEARSON PLACE","9801 IVALENES HOPE DR, AUSTIN, TX  78717","9801","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2015.0","2015-08-28 00:00:00.000","4.0","","2015.0","A1","WEST ROUND ROCK MRA","1.0","2004.0","1.0","1121.0","3125.0","1.0","441.0","2.0","319.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"328995","R520762","R-16-4926-000I-0001","S10379 - PEARSON PLACE SEC 2, BLOCK I, Lot 1","S10379","S10379 - PEARSON PLACE SEC 2","I","1","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808,(4-6303)","806603.0","626833.0","152000.0","654603.0","0.0","587517.0","569848.0","117000.0","470517.0","0.0","2740.0","R256613C","R256613C PEARSON PLACE","16025 JEFFS LN, AUSTIN, TX  78717","16025","JEFFS","LN","AUSTIN","TX","78717","SRR","R6","2015.0","2016-05-09 00:00:00.000","3.0","1.0","2015.0","A1","WEST ROUND ROCK MRA","1.0","1700.0","1.0","1040.0","2740.0","1.0","486.0","1.0","90.0","2022-04-13 04:00:02.307","VALID","nan","nan","1","100","nan","nan","nan","nan","nan"
"329017","R520784","R-16-4926-000M-0030","S10379 - PEARSON PLACE SEC 2, BLOCK M, Lot 30","S10379","S10379 - PEARSON PLACE SEC 2","M","30","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808,(4-6303)","805260.0","601999.0","152000.0","653260.0","0.0","575591.0","547272.0","117000.0","458591.0","0.0","2610.0","R256613C","R256613C PEARSON PLACE","10428 IVALENES HOPE DR, AUSTIN, TX  78717","10428","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2015.0","2015-05-27 00:00:00.000","2.0","1.0","2015.0","A1","WEST ROUND ROCK MRA","1.0","2610.0","","0.0","2610.0","1.0","441.0","2.0","325.0","2022-04-13 04:00:02.307","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311323","R506347","R-16-4913-000H-0013","S9965 - PEARSON PLACE SEC 1, BLOCK H, Lot 13","S9965","S9965 - PEARSON PLACE SEC 1","H","13","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","1066126.0","791633.0","152000.0","914126.0","0.0","759683.0","719666.0","117000.0","642683.0","0.0","3780.0","R256613C","R256613C PEARSON PLACE","10316 IVALENES HOPE DR, AUSTIN, TX  78717","10316","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2014.0","2015-04-07 00:00:00.000","4.0","","2014.0","A1","WEST ROUND ROCK MRA","1.0","2125.0","1.0","1655.0","3780.0","1.0","636.0","2.0","291.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311219","R506243","R-16-4913-000A-0002","S9965 - PEARSON PLACE SEC 1, BLOCK A, Lot 2","S9965","S9965 - PEARSON PLACE SEC 1","A","2","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","837100.0","642046.0","152000.0","685100.0","0.0","598738.0","583678.0","117000.0","481738.0","0.0","2741.0","R256613C","R256613C PEARSON PLACE","10109 DOUBLE EAGLE PASS, AUSTIN, TX  78717","10109","DOUBLE EAGLE","PASS","AUSTIN","TX","78717","SRR","R6","2015.0","2018-05-30 00:00:00.000","2.0","1.0","2015.0","A1","WEST ROUND ROCK MRA","1.0","2202.0","1.0","539.0","2741.0","1.0","530.0","2.0","239.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311255","R506279","R-16-4913-000E-0018","S9965 - PEARSON PLACE SEC 1, BLOCK E, Lot 18","S9965","S9965 - PEARSON PLACE SEC 1","E","18","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","942291.0","686953.0","152000.0","790291.0","0.0","659355.0","624503.0","117000.0","542355.0","0.0","3056.0","R256613C","R256613C PEARSON PLACE","9908 PAULINES WAY, AUSTIN, TX  78717","9908","PAULINES","WAY","AUSTIN","TX","78717","SRR","R6","2012.0","2013-03-22 00:00:00.000","3.5","","2012.0","A1","WEST ROUND ROCK MRA","1.0","2374.0","1.0","682.0","3056.0","1.0","566.0","2.0","419.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","1","96","nan","nan"
"311264","R506288","R-16-4913-000E-0027","S9965 - PEARSON PLACE SEC 1, BLOCK E, Lot 27","S9965","S9965 - PEARSON PLACE SEC 1","E","27","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","802575.0","606626.0","152000.0","650575.0","0.0","568795.0","551478.0","117000.0","451795.0","0.0","2522.0","R256613C","R256613C PEARSON PLACE","10317 IVALENES HOPE DR, AUSTIN, TX  78717","10317","IVALENES HOPE","DR","AUSTIN","TX","78717","SRR","R6","2013.0","2017-08-25 00:00:00.000","2.0","1.0","2013.0","A1","WEST ROUND ROCK MRA","1.0","2522.0","","0.0","2522.0","1.0","484.0","2.0","309.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311277","R506301","R-16-4913-000F-0012","S9965 - PEARSON PLACE SEC 1, BLOCK F, Lot 12","S9965","S9965 - PEARSON PLACE SEC 1","F","12","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","802011.0","610585.0","152000.0","650011.0","0.0","576585.0","555077.0","117000.0","459585.0","0.0","2676.0","R256613C","R256613C PEARSON PLACE","15916 PEARSON BROTHERS DR, AUSTIN, TX  78717","15916","PEARSON BROTHERS","DR","AUSTIN","TX","78717","SRR","R6","2013.0","2013-05-23 00:00:00.000","2.0","1.0","2013.0","A1","WEST ROUND ROCK MRA","1.0","2016.0","1.0","660.0","2676.0","1.0","543.0","2.0","189.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"311291","R506315","R-16-4913-000G-0005","S9965 - PEARSON PLACE SEC 1, BLOCK G, Lot 5","S9965","S9965 - PEARSON PLACE SEC 1","G","5","CAD,CAU,GWI,J01,RFM,SRR,W09,R07","4-5808","742330.0","562234.0","152000.0","590330.0","0.0","524743.0","511122.0","117000.0","407743.0","0.0","2306.0","R256613C","R256613C PEARSON PLACE","15909 PEARSON BROTHERS DR, AUSTIN, TX  78717","15909","PEARSON BROTHERS","DR","AUSTIN","TX","78717","SRR","R6","2012.0","2015-08-20 00:00:00.000","3.0","","2012.0","A1","WEST ROUND ROCK MRA","1.0","2306.0","","0.0","2306.0","1.0","440.0","1.0","38.0","2022-04-13 04:00:02.307","VALID","nan","nan","nan","nan","nan","nan","nan","nan","nan"
